iter	Logloss
0	0.6269140913
1	0.5691610807
2	0.528836446
3	0.49365416
4	0.4658331663
5	0.4501321476
6	0.4340622942
7	0.4172239669
8	0.4047207489
9	0.3961524699
10	0.3864104901
11	0.3803241544
12	0.3746105036
13	0.3701078482
14	0.3641655242
15	0.3613995809
16	0.3559056219
17	0.3518946358
18	0.3478083218
19	0.3433070126
20	0.3403173753
21	0.3378426007
22	0.3354993758
23	0.3329422586
24	0.3312452206
25	0.3295934725
26	0.3285472304
27	0.3261850257
28	0.3246083572
29	0.3223910885
30	0.3204349861
31	0.3190395915
32	0.3178749252
33	0.3163314922
34	0.3153583699
35	0.3134788783
36	0.3125929729
37	0.3111508097
38	0.309527937
39	0.3087965422
40	0.3074889496
41	0.3060875188
42	0.3052544476
43	0.3043748763
44	0.3034422
45	0.3025035848
46	0.3015395659
47	0.3011796423
48	0.2999989395
49	0.2991763911
50	0.2979117123
51	0.2969710281
52	0.2964249818
53	0.2951575863
54	0.2947643664
55	0.2940456479
56	0.2932910653
57	0.2926829116
58	0.292238874
59	0.2918081548
60	0.290935701
61	0.2900021309
62	0.28857021
63	0.2876302819
64	0.2869665104
65	0.2858832755
66	0.2849209282
67	0.2837766615
68	0.2833428325
69	0.2822263292
70	0.2811068542
71	0.2804162754
72	0.2796690155
73	0.2793821258
74	0.2785199636
75	0.2780947041
76	0.2774089072
77	0.27610906
78	0.2757513386
79	0.2748408604
80	0.2738552409
81	0.2731401964
82	0.2721713436
83	0.2714084973
84	0.2706886322
85	0.2696319224
86	0.2690754859
87	0.2681887179
88	0.2671672002
89	0.2665196382
90	0.2654528117
91	0.265237756
92	0.2645890644
93	0.2642520726
94	0.2640640112
95	0.2635339165
96	0.2633086214
97	0.2625795594
98	0.2619501093
99	0.2609792811
