iter	Passed	Remaining
0	2	2312
1	4	2169
2	5	1966
3	7	1827
4	8	1758
5	10	1701
6	10	1549
7	12	1524
8	13	1511
9	14	1471
10	16	1468
11	18	1509
12	20	1551
13	22	1567
14	23	1566
15	25	1559
16	26	1552
17	28	1548
18	29	1545
19	32	1595
20	35	1666
21	38	1716
22	41	1748
23	42	1735
24	45	1773
25	47	1795
26	49	1784
27	52	1828
28	54	1827
29	56	1827
30	58	1821
31	60	1839
32	62	1830
33	63	1818
34	66	1821
35	68	1823
36	69	1812
37	72	1827
38	73	1816
39	75	1805
40	77	1807
41	79	1808
42	80	1801
43	83	1819
44	85	1809
45	86	1798
46	88	1788
47	89	1777
48	91	1767
49	92	1757
50	93	1746
51	95	1736
52	96	1727
53	98	1734
54	100	1728
55	102	1720
56	103	1713
57	104	1704
58	106	1696
59	107	1681
60	108	1674
61	110	1666
62	111	1659
63	112	1651
64	115	1661
65	116	1655
66	118	1649
67	119	1644
68	121	1637
69	122	1631
70	124	1625
71	125	1621
72	127	1615
73	128	1610
74	131	1620
75	133	1618
76	134	1614
77	136	1609
78	137	1606
79	139	1600
80	140	1595
81	142	1592
82	143	1590
83	146	1595
84	148	1596
85	149	1592
86	151	1587
87	152	1584
88	154	1578
89	155	1573
90	157	1569
91	158	1563
92	159	1558
93	161	1556
94	163	1554
95	164	1551
96	166	1546
97	167	1544
98	169	1540
99	170	1535
100	172	1531
101	173	1527
102	174	1522
103	176	1518
104	178	1521
105	180	1523
106	182	1519
107	183	1515
108	184	1511
109	186	1507
110	187	1503
111	189	1499
112	190	1495
113	192	1496
114	195	1502
115	196	1499
116	198	1495
117	199	1491
118	201	1488
119	202	1484
120	203	1481
121	204	1473
122	206	1469
123	207	1465
124	208	1462
125	211	1468
126	213	1468
127	215	1465
128	216	1461
129	217	1458
130	219	1454
131	220	1451
132	222	1448
133	223	1445
134	225	1442
135	227	1442
136	228	1441
137	230	1438
138	231	1435
139	233	1432
140	235	1432
141	236	1429
142	237	1426
143	239	1422
144	240	1420
145	243	1423
146	244	1420
147	246	1417
148	247	1416
149	249	1412
150	250	1409
151	252	1406
152	253	1403
153	254	1400
154	256	1397
155	258	1397
156	260	1397
157	261	1394
158	263	1392
159	264	1389
160	266	1386
161	267	1383
162	268	1380
163	270	1377
164	271	1374
165	273	1374
166	275	1374
167	277	1372
168	278	1368
169	279	1365
170	281	1363
171	282	1360
172	284	1357
173	285	1355
174	286	1352
175	288	1349
176	290	1349
177	292	1350
178	293	1347
179	295	1345
180	296	1342
181	298	1340
182	299	1337
183	301	1335
184	302	1332
185	303	1327
186	304	1324
187	307	1325
188	308	1323
189	309	1320
190	311	1319
191	313	1317
192	314	1315
193	315	1312
194	317	1309
195	318	1307
196	320	1305
197	322	1306
198	324	1306
199	325	1303
200	327	1301
201	328	1299
202	330	1296
203	331	1294
204	333	1291
205	334	1289
206	335	1286
207	337	1285
208	339	1285
209	341	1283
210	342	1281
211	344	1279
212	345	1277
213	347	1274
214	348	1272
215	349	1270
216	351	1267
217	352	1265
218	354	1265
219	356	1263
220	357	1261
221	359	1259
222	360	1257
223	362	1255
224	363	1253
225	365	1250
226	366	1248
227	368	1246
228	370	1246
229	372	1245
230	373	1243
231	375	1241
232	376	1239
233	378	1237
234	379	1235
235	380	1233
236	382	1230
237	383	1228
238	385	1228
239	388	1229
240	389	1227
241	391	1226
242	392	1224
243	394	1222
244	396	1221
245	397	1219
246	399	1217
247	400	1215
248	403	1215
249	404	1214
250	406	1212
251	407	1209
252	408	1207
253	410	1205
254	411	1203
255	413	1201
256	414	1198
257	416	1196
258	418	1196
259	419	1194
260	421	1192
261	422	1190
262	424	1188
263	425	1186
264	427	1184
265	428	1182
266	430	1180
267	431	1178
268	433	1177
269	435	1177
270	437	1175
271	438	1173
272	439	1171
273	441	1169
274	442	1167
275	444	1165
276	445	1162
277	446	1160
278	448	1158
279	450	1159
280	452	1157
281	453	1155
282	455	1154
283	456	1151
284	458	1149
285	459	1147
286	461	1145
287	462	1143
288	464	1141
289	466	1142
290	468	1140
291	469	1138
292	471	1136
293	472	1134
294	473	1132
295	475	1130
296	476	1128
297	478	1126
298	479	1124
299	481	1123
300	483	1122
301	484	1120
302	486	1118
303	488	1118
304	489	1116
305	491	1114
306	492	1112
307	494	1110
308	495	1107
309	497	1107
310	499	1106
311	501	1105
312	502	1103
313	503	1101
314	505	1099
315	507	1097
316	508	1095
317	509	1093
318	511	1091
319	513	1090
320	515	1090
321	516	1088
322	518	1086
323	519	1084
324	521	1082
325	522	1080
326	523	1077
327	525	1075
328	526	1073
329	527	1071
330	530	1071
331	531	1069
332	533	1067
333	534	1065
334	536	1064
335	537	1063
336	539	1061
337	540	1059
338	542	1057
339	543	1055
340	545	1054
341	547	1053
342	549	1052
343	550	1050
344	552	1048
345	553	1046
346	555	1044
347	556	1042
348	557	1040
349	559	1038
350	560	1035
351	562	1035
352	564	1034
353	565	1032
354	567	1030
355	568	1028
356	569	1026
357	571	1024
358	572	1022
359	574	1020
360	575	1018
361	578	1018
362	579	1017
363	581	1015
364	582	1013
365	584	1011
366	585	1009
367	587	1008
368	588	1005
369	589	1003
370	590	1001
371	592	1000
372	595	1000
373	596	998
374	598	997
375	599	995
376	601	993
377	602	991
378	603	989
379	605	987
380	606	985
381	608	983
382	610	983
383	611	981
384	613	979
385	615	978
386	616	976
387	617	974
388	619	972
389	620	970
390	622	968
391	623	967
392	626	967
393	627	965
394	629	963
395	630	961
396	632	960
397	633	958
398	634	956
399	636	954
400	637	952
401	639	951
402	641	950
403	643	949
404	645	947
405	646	946
406	648	944
407	649	942
408	651	940
409	652	938
410	654	937
411	655	935
412	658	935
413	659	934
414	661	932
415	662	930
416	664	928
417	665	926
418	667	925
419	668	923
420	669	921
